Order_ID,Order_Date,Region,Category,Sub_Category,Product,Sales,Profit,Quantity,Discount
2001,2024-01-03,West,Technology,Phones,iPhone,1200,300,2,0.1
2002,2024-01-05,East,Furniture,Chairs,Office Chair,400,-50,1,0.3
2003,2024-01-07,Central,Office Supplies,Binders,Binder Set,80,20,4,0
2004,2024-01-10,South,Technology,Laptops,Dell Laptop,900,150,1,0.15
2005,2024-01-15,West,Furniture,Tables,Dining Table,700,-120,1,0.25
2006,2024-01-20,East,Office Supplies,Paper,A4 Paper,150,30,5,0
2007,2024-02-01,Central,Technology,Accessories,Mouse,200,60,3,0.05
2008,2024-02-05,South,Furniture,Sofas,Leather Sofa,1000,-200,1,0.4
2009,2024-02-10,West,Office Supplies,Storage,Storage Box,300,70,2,0.1
2010,2024-02-15,East,Technology,Phones,Samsung Phone,800,200,2,0.1
2011,2024-03-01,Central,Furniture,Chairs,Wood Chair,350,-40,1,0.2
2012,2024-03-05,South,Office Supplies,Binders,File Binder,120,25,3,0
2013,2024-03-10,West,Technology,Laptops,HP Laptop,950,180,1,0.1
2014,2024-03-15,East,Furniture,Tables,Coffee Table,500,-60,1,0.3
2015,2024-03-20,Central,Office Supplies,Paper,Notebook Pack,220,50,4,0
